"V1"	"V2"	"V3"	"V4"
"1"	0	557	0	2
"2"	0.6684	555	0	1
"3"	1.0089	554	1	1
"4"	1.3007	552	3	1
"5"	1.5439	548	1	0
"6"	1.7871	547	2	2
"7"	2.1762	543	3	1
"8"	2.468	539	3	1
"9"	2.8571	535	3	1
"10"	3.1003	531	1	1
"11"	3.3921	529	3	1
"12"	3.7325	525	3	0
"13"	3.9758	522	1	0
"14"	3.9964	521	2	0
"15"	4.1216	519	0	1
"16"	4.316	518	3	0
"17"	4.4619	515	2	0
"18"	4.5592	513	1	1
"19"	4.6562	511	5	1
"20"	4.9481	505	0	0
"21"	5.0453	505	2	1
"22"	5.2399	502	1	0
"23"	5.2884	501	2	1
"24"	5.4342	498	3	0
"25"	5.6288	495	1	1
"26"	5.7745	493	4	1
"27"	6.0176	488	3	1
"28"	6.358	484	3	0
"29"	6.504	481	1	2
"30"	6.8932	478	1	0
"31"	7.0388	477	6	1
"32"	7.2332	470	3	1
"33"	7.4764	466	2	0
"34"	7.671	464	1	1
"35"	7.9979	462	2	0
"36"	8.206	460	1	0
"37"	8.352	459	0	0
"38"	8.5466	459	1	1
"39"	8.7896	457	5	1
"40"	9.2273	451	3	0
"41"	9.3244	448	3	0
"42"	9.5677	445	0	1
"43"	9.762	444	5	0
"44"	9.8592	439	2	0
"45"	9.9564	437	2	0
"46"	10.1023	435	1	1
"47"	10.394	433	4	0
"48"	10.5884	429	4	0
"49"	10.7829	425	1	1
"50"	11.0262	423	1	0
"51"	11.2206	422	4	0
"52"	11.3663	418	3	1
"53"	11.6581	414	3	0
"54"	11.9013	411	2	0
"55"	11.9992	409	1	0
"56"	12.193	408	3	0
"57"	12.3874	405	3	0
"58"	12.5819	402	3	0
"59"	12.7275	399	6	0
"60"	12.9705	393	3	1
"61"	13.2136	389	4	0
"62"	13.3108	385	2	0
"63"	13.4079	383	2	0
"64"	13.5539	381	1	0
"65"	13.6511	380	1	0
"66"	13.8457	379	0	1
"67"	14.0889	378	2	0
"68"	14.2835	376	2	0
"69"	14.6239	374	3	0
"70"	14.8786	371	2	1
"71"	15.3047	368	4	0
"72"	15.4505	364	2	0
"73"	15.7423	362	2	0
"74"	16	360	2	0
"75"	16.0826	358	3	0
"76"	16.2772	355	2	0
"77"	16.569	353	1	0
"78"	16.8121	352	4	0
"79"	17.3959	348	2	0
"80"	17.639	346	2	0
"81"	17.8388	344	3	1
"82"	18.0925	340	3	0
"83"	18.2617	337	1	0
"84"	18.3462	336	2	0
"85"	18.5153	334	1	0
"86"	18.7691	333	1	0
"87"	18.8958	332	4	0
"88"	19.0227	328	1	0
"89"	19.2341	327	2	0
"90"	19.3609	325	2	0
"91"	19.5301	323	1	0
"92"	19.6992	322	2	0
"93"	19.9952	320	2	1
"94"	20.3337	317	1	1
"95"	20.5451	315	2	1
"96"	20.8837	312	0	1
"97"	21.222	311	2	2
"98"	21.563	307	1	0
"99"	21.6871	306	1	2
"100"	22.1092	303	1	0
"101"	22.2084	302	1	1
"102"	22.3573	300	2	0
"103"	22.364	298	1	1
"104"	22.5754	296	2	1
"105"	22.787	293	0	1
"106"	23.083	292	2	1
"107"	23.3369	289	1	1
"108"	23.6329	287	2	1
"109"	24	284	3	0
"110"	24.1403	281	2	1
"111"	24.4365	278	0	0
"112"	24.6056	278	2	1
"113"	24.7748	275	1	0
"114"	24.9017	274	1	0
"115"	24.9439	273	1	1
"116"	25.2399	271	4	1
"117"	25.536	266	1	0
"118"	25.6205	265	1	1
"119"	25.8742	263	2	1
"120"	26.0434	260	2	0
"121"	26.2126	258	0	1
"122"	26.4663	257	3	0
"123"	26.6354	254	1	1
"124"	26.8469	252	2	1
"125"	27.0161	249	1	0
"126"	27.3123	248	0	1
"127"	27.5237	247	2	1
"128"	27.6929	244	1	0
"129"	28	243	1	0
"130"	28.2849	242	4	2
"131"	29.0828	236	2	0
"132"	29.3062	234	1	0
"133"	29.4798	233	2	1
"134"	29.7032	230	1	0
"135"	29.877	229	0	2
"136"	30.9695	227	1	1
"137"	31.0687	225	1	0
"138"	31.2425	224	0	0
"139"	31.3418	224	1	0
"140"	31.4411	223	0	1
"141"	31.5652	222	1	0
"142"	31.6893	221	0	0
"143"	32	221	0	0
"144"	32.2106	221	1	1
"145"	32.4588	219	2	0
"146"	32.6573	217	1	2
"147"	33.1073	214	3	0
"148"	33.3188	211	1	2
"149"	33.7843	208	0	5
"150"	35.4765	203	4	0
"151"	35.6457	199	1	1
"152"	36	197	1	1
"153"	36.7034	195	0	1
"154"	36.9571	194	2	0
"155"	37.1685	192	3	1
"156"	37.3376	188	2	0
"157"	37.549	186	1	1
"158"	37.8027	184	3	1
"159"	38.2257	180	1	0
"160"	38.3103	179	1	1
"161"	38.7756	177	1	0
"162"	39.0717	176	1	1
"163"	39.4524	174	2	1
"164"	39.7061	171	2	0
"165"	40	169	3	7
"166"	40.5943	159	2	3
"167"	40.8058	154	0	4
"168"	41.1019	150	2	4
"169"	41.4402	144	1	6
"170"	41.8517	137	3	3
"171"	42.112	131	1	5
"172"	42.4765	125	2	4
"173"	42.8409	119	3	3
"174"	43.0493	113	0	6
"175"	43.4659	107	2	2
"176"	43.6743	103	0	4
"177"	44	99	0	2
"178"	44.2473	97	0	8
"179"	44.9764	89	2	5
"180"	45.4451	82	1	14
"181"	46.7993	67	2	5
"182"	47.3201	60	1	6
"183"	47.8409	53	1	1
"184"	48	51	0	3
"185"	48.4775	48	1	22
"186"	51.5428	25	1	3
"187"	52	21	1	3
"188"	52.945	17	1	0
"189"	53.0504	16	0	6
"190"	54.8968	10	3	0
"191"	55.0913	7	0	0
