"V1"	"V2"	"V3"	"V4"
"1"	0	375	0	3
"2"	0.8869	372	2	0
"3"	0.9675	370	3	1
"4"	1.0885	366	2	1
"5"	1.3707	363	4	1
"6"	1.8167	358	1	1
"7"	1.9219	356	2	0
"8"	1.957	354	2	1
"9"	2.3075	351	1	1
"10"	2.4477	349	3	0
"11"	2.5178	346	1	1
"12"	2.623	344	3	0
"13"	2.7632	341	3	1
"14"	3	337	0	1
"15"	3.1488	336	2	0
"16"	3.1839	334	6	4
"17"	4.3057	324	12	1
"18"	4.551	311	2	1
"19"	4.8315	308	1	1
"20"	5.182	306	3	2
"21"	5.6378	301	2	1
"22"	5.7429	298	2	0
"23"	5.8481	296	1	0
"24"	6	295	1	0
"25"	6.1285	294	2	0
"26"	6.409	292	4	0
"27"	6.6193	288	4	1
"28"	6.7595	283	2	0
"29"	6.8998	281	1	0
"30"	7.4606	280	3	1
"31"	7.8813	276	3	1
"32"	8.337	272	3	1
"33"	9	268	2	0
"34"	9.2485	266	1	0
"35"	9.4237	265	2	0
"36"	9.564	263	1	1
"37"	9.8794	261	2	0
"38"	9.9846	259	1	0
"39"	10.0898	258	3	0
"40"	10.4754	255	0	1
"41"	10.6507	254	2	0
"42"	10.7558	252	2	0
"43"	11.1414	250	1	1
"44"	11.2817	248	2	0
"45"	11.4219	246	1	0
"46"	11.6673	245	1	0
"47"	11.7724	244	2	0
"48"	12	242	3	0
"49"	12.2632	239	2	0
"50"	12.5436	237	3	0
"51"	12.6839	234	3	0
"52"	12.754	231	3	0
"53"	12.8241	228	0	1
"54"	13.5252	227	3	0
"55"	13.5953	224	1	0
"56"	13.6654	223	1	0
"57"	13.7706	222	2	0
"58"	13.9108	220	3	0
"59"	14.5067	217	1	0
"60"	14.6119	216	2	0
"61"	14.682	214	3	0
"62"	14.7521	211	1	0
"63"	14.8222	210	1	0
"64"	14.9975	209	2	1
"65"	15.2429	206	2	0
"66"	15.4532	204	1	0
"67"	15.6986	203	1	0
"68"	16.0492	202	2	0
"69"	16.3647	200	1	1
"70"	17.206	198	2	0
"71"	17.3112	196	1	0
"72"	17.3813	195	2	0
"73"	17.5566	193	2	0
"74"	17.6968	191	2	0
"75"	17.8019	189	2	0
"76"	18	187	2	0
"77"	18.1525	185	3	2
"78"	18.8887	180	2	0
"79"	19.0289	178	2	1
"80"	19.3794	175	2	1
"81"	19.765	172	1	3
"82"	20.8167	168	2	1
"83"	21	165	1	0
"84"	21.2724	164	1	1
"85"	21.6931	162	2	2
"86"	22.4643	158	1	1
"87"	22.5344	156	1	0
"88"	22.6396	155	2	1
"89"	22.92	152	1	2
"90"	24	149	4	11
"91"	24.848	134	2	19
"92"	26.2503	113	0	2
"93"	26.3905	111	1	6
"94"	26.8462	104	1	3
"95"	27	100	1	1
"96"	27.1266	98	2	2
"97"	27.2669	94	0	2
"98"	27.372	92	2	7
"99"	27.8979	83	0	9
"100"	28.599	74	1	7
"101"	29.0547	66	1	12
"102"	30	53	0	7
"103"	31.5436	46	1	0
